2024-11-13 10:36:41,394 INFO    StreamThr :15044 [internal.py:wandb_internal():85] W&B internal server running at pid: 15044, started at: 2024-11-13 10:36:41.394711
2024-11-13 10:36:41,394 DEBUG   HandlerThread:15044 [handler.py:handle_request():158] handle_request: status
2024-11-13 10:36:41,409 INFO    WriterThread:15044 [datastore.py:open_for_write():87] open: C:\Users\User\Downloads\trash_classification\wandb\run-20241113_103641-pshqexjp\run-pshqexjp.wandb
2024-11-13 10:36:41,409 DEBUG   SenderThread:15044 [sender.py:send():378] send: header
2024-11-13 10:36:41,678 DEBUG   SenderThread:15044 [sender.py:send():378] send: run
2024-11-13 10:36:42,443 INFO    SenderThread:15044 [dir_watcher.py:__init__():211] watching files in: C:\Users\User\Downloads\trash_classification\wandb\run-20241113_103641-pshqexjp\files
2024-11-13 10:36:42,443 INFO    SenderThread:15044 [sender.py:_start_run_threads():1123] run started: pshqexjp with start time 1731469001.39471
2024-11-13 10:36:42,456 DEBUG   HandlerThread:15044 [handler.py:handle_request():158] handle_request: check_version
2024-11-13 10:36:42,456 DEBUG   SenderThread:15044 [sender.py:send_request():405] send_request: check_version
2024-11-13 10:36:42,628 DEBUG   HandlerThread:15044 [handler.py:handle_request():158] handle_request: run_start
2024-11-13 10:36:42,664 ERROR   HandlerThread:15044 [gpu.py:is_available():381] Error initializing NVML: Insufficient Permissions
2024-11-13 10:36:42,676 DEBUG   HandlerThread:15044 [system_info.py:__init__():26] System info init
2024-11-13 10:36:42,676 DEBUG   HandlerThread:15044 [system_info.py:__init__():41] System info init done
2024-11-13 10:36:42,676 INFO    HandlerThread:15044 [system_monitor.py:start():194] Starting system monitor
2024-11-13 10:36:42,676 INFO    SystemMonitor:15044 [system_monitor.py:_start():158] Starting system asset monitoring threads
2024-11-13 10:36:42,676 INFO    HandlerThread:15044 [system_monitor.py:probe():214] Collecting system info
2024-11-13 10:36:42,691 INFO    SystemMonitor:15044 [interfaces.py:start():188] Started cpu monitoring
2024-11-13 10:36:42,707 DEBUG   HandlerThread:15044 [system_info.py:probe():150] Probing system
2024-11-13 10:36:42,707 INFO    SystemMonitor:15044 [interfaces.py:start():188] Started disk monitoring
2024-11-13 10:36:42,738 INFO    SystemMonitor:15044 [interfaces.py:start():188] Started memory monitoring
